round_name,round_type,system,bow_type,bow_group,spot_type,score,handicap
York,outdoor,imperial,recurve,non-compound,,1284,0
York,outdoor,imperial,compound,compound,,1284,0
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1295,0
Hereford / Bristol I,outdoor,imperial,compound,compound,,1295,0
Bristol II,outdoor,imperial,recurve,non-compound,,1296,0
Bristol II,outdoor,imperial,compound,compound,,1296,0
Bristol III,outdoor,imperial,recurve,non-compound,,1296,0
Bristol III,outdoor,imperial,compound,compound,,1296,0
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,0
Bristol IV,outdoor,imperial,compound,compound,,1296,0
Bristol V,outdoor,imperial,recurve,non-compound,,1296,0
Bristol V,outdoor,imperial,compound,compound,,1296,0
St George,outdoor,imperial,recurve,non-compound,,966,0
St George,outdoor,imperial,compound,compound,,966,0
Albion,outdoor,imperial,recurve,non-compound,,972,0
Albion,outdoor,imperial,compound,compound,,972,0
Windsor,outdoor,imperial,recurve,non-compound,,972,0
Windsor,outdoor,imperial,compound,compound,,972,0
Windsor 50,outdoor,imperial,recurve,non-compound,,972,0
Windsor 50,outdoor,imperial,compound,compound,,972,0
Windsor 40,outdoor,imperial,recurve,non-compound,,972,0
Windsor 40,outdoor,imperial,compound,compound,,972,0
Windsor 30,outdoor,imperial,recurve,non-compound,,972,0
Windsor 30,outdoor,imperial,compound,compound,,972,0
New Western,outdoor,imperial,recurve,non-compound,,856,0
New Western,outdoor,imperial,compound,compound,,856,0
Long Western,outdoor,imperial,recurve,non-compound,,863,0
Long Western,outdoor,imperial,compound,compound,,863,0
Western,outdoor,imperial,recurve,non-compound,,864,0
Western,outdoor,imperial,compound,compound,,864,0
Western 50,outdoor,imperial,recurve,non-compound,,864,0
Western 50,outdoor,imperial,compound,compound,,864,0
Western 40,outdoor,imperial,recurve,non-compound,,864,0
Western 40,outdoor,imperial,compound,compound,,864,0
Western 30,outdoor,imperial,recurve,non-compound,,864,0
Western 30,outdoor,imperial,compound,compound,,864,0
American,outdoor,imperial,recurve,non-compound,,810,0
American,outdoor,imperial,compound,compound,,810,0
St Nicholas,outdoor,imperial,recurve,non-compound,,756,0
St Nicholas,outdoor,imperial,compound,compound,,756,0
New National,outdoor,imperial,recurve,non-compound,,640,0
New National,outdoor,imperial,compound,compound,,640,0
Long National,outdoor,imperial,recurve,non-compound,,647,0
Long National,outdoor,imperial,compound,compound,,647,0
National,outdoor,imperial,recurve,non-compound,,648,0
National,outdoor,imperial,compound,compound,,648,0
National 50,outdoor,imperial,recurve,non-compound,,648,0
National 50,outdoor,imperial,compound,compound,,648,0
National 40,outdoor,imperial,recurve,non-compound,,648,0
National 40,outdoor,imperial,compound,compound,,648,0
National 30,outdoor,imperial,recurve,non-compound,,648,0
National 30,outdoor,imperial,compound,compound,,648,0
New Warwick,outdoor,imperial,recurve,non-compound,,428,0
New Warwick,outdoor,imperial,compound,compound,,428,0
Long Warwick,outdoor,imperial,recurve,non-compound,,432,0
Long Warwick,outdoor,imperial,compound,compound,,432,0
Warwick,outdoor,imperial,recurve,non-compound,,432,0
Warwick,outdoor,imperial,compound,compound,,432,0
Warwick 50,outdoor,imperial,recurve,non-compound,,432,0
Warwick 50,outdoor,imperial,compound,compound,,432,0
Warwick 40,outdoor,imperial,recurve,non-compound,,432,0
Warwick 40,outdoor,imperial,compound,compound,,432,0
York,outdoor,imperial,recurve,non-compound,,1281,1
York,outdoor,imperial,compound,compound,,1281,1
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1294,1
Hereford / Bristol I,outdoor,imperial,compound,compound,,1294,1
Bristol II,outdoor,imperial,recurve,non-compound,,1296,1
Bristol II,outdoor,imperial,compound,compound,,1296,1
Bristol III,outdoor,imperial,recurve,non-compound,,1296,1
Bristol III,outdoor,imperial,compound,compound,,1296,1
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,1
Bristol IV,outdoor,imperial,compound,compound,,1296,1
Bristol V,outdoor,imperial,recurve,non-compound,,1296,1
Bristol V,outdoor,imperial,compound,compound,,1296,1
St George,outdoor,imperial,recurve,non-compound,,965,1
St George,outdoor,imperial,compound,compound,,965,1
Albion,outdoor,imperial,recurve,non-compound,,971,1
Albion,outdoor,imperial,compound,compound,,971,1
Windsor,outdoor,imperial,recurve,non-compound,,972,1
Windsor,outdoor,imperial,compound,compound,,972,1
Windsor 50,outdoor,imperial,recurve,non-compound,,972,1
Windsor 50,outdoor,imperial,compound,compound,,972,1
Windsor 40,outdoor,imperial,recurve,non-compound,,972,1
Windsor 40,outdoor,imperial,compound,compound,,972,1
Windsor 30,outdoor,imperial,recurve,non-compound,,972,1
Windsor 30,outdoor,imperial,compound,compound,,972,1
New Western,outdoor,imperial,recurve,non-compound,,854,1
New Western,outdoor,imperial,compound,compound,,854,1
Long Western,outdoor,imperial,recurve,non-compound,,863,1
Long Western,outdoor,imperial,compound,compound,,863,1
Western,outdoor,imperial,recurve,non-compound,,864,1
Western,outdoor,imperial,compound,compound,,864,1
Western 50,outdoor,imperial,recurve,non-compound,,864,1
Western 50,outdoor,imperial,compound,compound,,864,1
Western 40,outdoor,imperial,recurve,non-compound,,864,1
Western 40,outdoor,imperial,compound,compound,,864,1
Western 30,outdoor,imperial,recurve,non-compound,,864,1
Western 30,outdoor,imperial,compound,compound,,864,1
American,outdoor,imperial,recurve,non-compound,,810,1
American,outdoor,imperial,compound,compound,,810,1
St Nicholas,outdoor,imperial,recurve,non-compound,,756,1
St Nicholas,outdoor,imperial,compound,compound,,756,1
New National,outdoor,imperial,recurve,non-compound,,639,1
New National,outdoor,imperial,compound,compound,,639,1
Long National,outdoor,imperial,recurve,non-compound,,647,1
Long National,outdoor,imperial,compound,compound,,647,1
National,outdoor,imperial,recurve,non-compound,,648,1
National,outdoor,imperial,compound,compound,,648,1
National 50,outdoor,imperial,recurve,non-compound,,648,1
National 50,outdoor,imperial,compound,compound,,648,1
National 40,outdoor,imperial,recurve,non-compound,,648,1
National 40,outdoor,imperial,compound,compound,,648,1
National 30,outdoor,imperial,recurve,non-compound,,648,1
National 30,outdoor,imperial,compound,compound,,648,1
New Warwick,outdoor,imperial,recurve,non-compound,,427,1
New Warwick,outdoor,imperial,compound,compound,,427,1
Long Warwick,outdoor,imperial,recurve,non-compound,,432,1
Long Warwick,outdoor,imperial,compound,compound,,432,1
Warwick,outdoor,imperial,recurve,non-compound,,432,1
Warwick,outdoor,imperial,compound,compound,,432,1
